"filename", "language", "Python", "CSV", "comment", "blank", "total"
"d:\Users\Conrad\Documents\Python\Data_Munge_Extensible\MAIN\CFSIV_Automate_the_Repetative.py", "Python", 42, 0, 14, 16, 72
"d:\Users\Conrad\Documents\Python\Data_Munge_Extensible\MAIN\FetchEmailClassModularized.py", "Python", 211, 0, 13, 40, 264
"d:\Users\Conrad\Documents\Python\Data_Munge_Extensible\MAIN\Handler_ATM_commissions.py", "Python", 143, 0, 20, 34, 197
"d:\Users\Conrad\Documents\Python\Data_Munge_Extensible\MAIN\Handler_Kiosoft_revenue_detail_report.py", "Python", 132, 0, 45, 48, 225
"d:\Users\Conrad\Documents\Python\Data_Munge_Extensible\MAIN\Handler_Nayax_zip_files.py", "Python", 105, 0, 29, 31, 165
"d:\Users\Conrad\Documents\Python\Data_Munge_Extensible\MAIN\Handler_PAI_float_report.py", "Python", 170, 0, 23, 44, 237
"d:\Users\Conrad\Documents\Python\Data_Munge_Extensible\MAIN\Handler_TouchTunes_Collection_details.py", "Python", 545, 0, 42, 52, 639
"d:\Users\Conrad\Documents\Python\Data_Munge_Extensible\MAIN\Handler_email_json_files.py", "Python", 75, 0, 10, 25, 110
"d:\Users\Conrad\Documents\Python\Data_Munge_Extensible\MAIN\Handler_html_munge.py", "Python", 71, 0, 10, 29, 110
"d:\Users\Conrad\Documents\Python\Data_Munge_Extensible\MAIN\Handler_pdf_Cantaloupe.py", "Python", 66, 0, 5, 23, 94
"d:\Users\Conrad\Documents\Python\Data_Munge_Extensible\MAIN\Handler_pdf_TouchTunes.py", "Python", 73, 0, 6, 25, 104
"d:\Users\Conrad\Documents\Python\Data_Munge_Extensible\MAIN\Handler_process_simple.py", "Python", 174, 0, 17, 33, 224
"d:\Users\Conrad\Documents\Python\Data_Munge_Extensible\MAIN\Handler_process_surcharge.py", "Python", 314, 0, 40, 63, 417
"d:\Users\Conrad\Documents\Python\Data_Munge_Extensible\MAIN\Handler_template_data_munge.py", "Python", 70, 0, 9, 27, 106
"d:\Users\Conrad\Documents\Python\Data_Munge_Extensible\MAIN\Handler_wesbanco_QBO_fix.py", "Python", 266, 0, 23, 53, 342
"d:\Users\Conrad\Documents\Python\Data_Munge_Extensible\MAIN\SimpleTerminalData.csv", "CSV", 0, 60, 0, 1, 61
"d:\Users\Conrad\Documents\Python\Data_Munge_Extensible\MAIN\betson_email.py", "Python", 1, 0, 0, 0, 1
"d:\Users\Conrad\Documents\Python\Data_Munge_Extensible\MAIN\df_modifier.py", "Python", 69, 0, 13, 20, 102
"d:\Users\Conrad\Documents\Python\Data_Munge_Extensible\MAIN\directory_watcher.py", "Python", 119, 0, 11, 22, 152
"d:\Users\Conrad\Documents\Python\Data_Munge_Extensible\MAIN\file_processor_and_scripts_manager.py", "Python", 117, 0, 9, 21, 147
"d:\Users\Conrad\Documents\Python\Data_Munge_Extensible\MAIN\generic_dataframe_functions.py", "Python", 221, 0, 10, 44, 275
"d:\Users\Conrad\Documents\Python\Data_Munge_Extensible\MAIN\generic_excel_functions.py", "Python", 165, 0, 33, 31, 229
"d:\Users\Conrad\Documents\Python\Data_Munge_Extensible\MAIN\generic_json_functions.py", "Python", 27, 0, 3, 9, 39
"d:\Users\Conrad\Documents\Python\Data_Munge_Extensible\MAIN\generic_munge_functions.py", "Python", 125, 0, 14, 21, 160
"d:\Users\Conrad\Documents\Python\Data_Munge_Extensible\MAIN\generic_pathlib_file_methods.py", "Python", 189, 0, 10, 32, 231
"d:\Users\Conrad\Documents\Python\Data_Munge_Extensible\MAIN\generic_pdf_functions.py", "Python", 56, 0, 11, 18, 85
"d:\Users\Conrad\Documents\Python\Data_Munge_Extensible\MAIN\test_date_from_str.py", "Python", 41, 0, 3, 15, 59
"d:\Users\Conrad\Documents\Python\Data_Munge_Extensible\MAIN\test_df_modifier.py", "Python", 38, 0, 13, 28, 79
"d:\Users\Conrad\Documents\Python\Data_Munge_Extensible\MAIN\test_email_fetcher.py", "Python", 96, 0, 14, 36, 146
"d:\Users\Conrad\Documents\Python\Data_Munge_Extensible\MAIN\test_generic_excel_functions.py", "Python", 32, 0, 4, 14, 50
"d:\Users\Conrad\Documents\Python\Data_Munge_Extensible\MAIN\test_generic_munge_functions.py", "Python", 53, 0, 11, 14, 78
"Total", "-", 3806, 60, 465, 869, 5200
